class,precision,recall,f1,support,class_accuracy,roc_auc
apple,0.8349514563106796,0.86,0.8472906403940886,100,0.86,0.9623515151515151
aquarium_fish,0.7789473684210526,0.74,0.7589743589743589,100,0.74,0.9420333333333333
baby,0.7789473684210526,0.74,0.7589743589743589,100,0.74,0.9224939393939393
bear,0.7789473684210526,0.74,0.7589743589743589,100,0.74,0.8970363636363636
beaver,0.7777777777777778,0.84,0.8076923076923077,100,0.84,0.9511242424242423
bed,0.801980198019802,0.81,0.8059701492537313,100,0.81,0.9586181818181819
bee,0.7238095238095238,0.76,0.7414634146341463,100,0.76,0.9362565656565656
beetle,0.7567567567567568,0.84,0.7962085308056872,100,0.84,0.9617080808080808
bicycle,0.8282828282828283,0.82,0.8241206030150754,100,0.82,0.975710101010101
bottle,0.826530612244898,0.81,0.8181818181818182,100,0.81,0.9555181818181818
bowl,0.74,0.74,0.74,100,0.74,0.945639393939394
boy,0.77,0.77,0.77,100,0.77,0.9274464646464647
bridge,0.7614678899082569,0.83,0.7942583732057417,100,0.83,0.9817161616161615
bus,0.7565217391304347,0.87,0.8093023255813954,100,0.87,0.9702909090909091
butterfly,0.7766990291262136,0.8,0.7881773399014779,100,0.8,0.9298464646464645
camel,0.7575757575757576,0.75,0.7537688442211056,100,0.75,0.911779797979798
can,0.7878787878787878,0.78,0.7839195979899497,100,0.78,0.9669080808080808
castle,0.845360824742268,0.82,0.8324873096446701,100,0.82,0.961231313131313
caterpillar,0.782608695652174,0.72,0.75,100,0.72,0.9272242424242424
cattle,0.7391304347826086,0.68,0.7083333333333334,100,0.68,0.9294565656565656
chair,0.7272727272727273,0.8,0.7619047619047619,100,0.8,0.9665909090909091
chimpanzee,0.7676767676767676,0.76,0.7638190954773869,100,0.76,0.9388262626262627
clock,0.7640449438202247,0.68,0.7195767195767195,100,0.68,0.9196939393939394
cloud,0.7333333333333333,0.77,0.751219512195122,100,0.77,0.9431949494949495
cockroach,0.7798165137614679,0.85,0.8133971291866029,100,0.85,0.9610090909090908
couch,0.7731958762886598,0.75,0.7614213197969543,100,0.75,0.9548444444444445
crab,0.6979166666666666,0.67,0.6836734693877551,100,0.67,0.9040414141414141
crocodile,0.7628865979381443,0.74,0.751269035532995,100,0.74,0.9037101010101011
cup,0.7523809523809524,0.79,0.7707317073170732,100,0.79,0.9592343434343434
dinosaur,0.7407407407407407,0.8,0.7692307692307693,100,0.8,0.9553484848484848
dolphin,0.7835051546391752,0.76,0.7715736040609137,100,0.76,0.9403545454545454
elephant,0.7340425531914894,0.69,0.711340206185567,100,0.69,0.915760606060606
flatfish,0.7959183673469388,0.78,0.7878787878787878,100,0.78,0.9313585858585859
forest,0.7454545454545455,0.82,0.780952380952381,100,0.82,0.9620969696969697
fox,0.7032967032967034,0.64,0.6701570680628273,100,0.64,0.8966919191919194
girl,0.7816091954022989,0.68,0.7272727272727273,100,0.68,0.9090404040404041
hamster,0.7326732673267327,0.74,0.736318407960199,100,0.74,0.9212030303030303
house,0.7676767676767676,0.76,0.7638190954773869,100,0.76,0.9558191919191918
kangaroo,0.8023255813953488,0.69,0.7419354838709677,100,0.69,0.9161525252525252
keyboard,0.801980198019802,0.81,0.8059701492537313,100,0.81,0.9686272727272728
lamp,0.7757009345794392,0.83,0.8019323671497585,100,0.83,0.9806757575757576
lawn_mower,0.7623762376237624,0.77,0.7661691542288557,100,0.77,0.9464080808080808
leopard,0.7659574468085106,0.72,0.7422680412371134,100,0.72,0.9427656565656566
lion,0.8604651162790697,0.74,0.7956989247311828,100,0.74,0.9107696969696968
lizard,0.7604166666666666,0.73,0.7448979591836735,100,0.73,0.9462949494949493
lobster,0.8021978021978022,0.73,0.7643979057591623,100,0.73,0.9034636363636364
man,0.7333333333333333,0.77,0.751219512195122,100,0.77,0.932412121212121
maple_tree,0.7551020408163265,0.74,0.7474747474747475,100,0.74,0.9531656565656565
motorcycle,0.7924528301886793,0.84,0.8155339805825242,100,0.84,0.981489898989899
mountain,0.7326732673267327,0.74,0.736318407960199,100,0.74,0.9698949494949495
mouse,0.8125,0.78,0.7959183673469388,100,0.78,0.9336505050505052
mushroom,0.7547169811320755,0.8,0.7766990291262136,100,0.8,0.9417060606060605
oak_tree,0.7572815533980582,0.78,0.7684729064039408,100,0.78,0.9636
orange,0.7807017543859649,0.89,0.8317757009345794,100,0.89,0.9680575757575758
orchid,0.8037383177570093,0.86,0.8309178743961353,100,0.86,0.9778575757575757
otter,0.8043478260869565,0.74,0.7708333333333334,100,0.74,0.9548343434343435
palm_tree,0.7064220183486238,0.77,0.7368421052631579,100,0.77,0.9516333333333333
pear,0.7692307692307693,0.8,0.7843137254901961,100,0.8,0.9576656565656565
pickup_truck,0.8282828282828283,0.82,0.8241206030150754,100,0.82,0.9581191919191919
pine_tree,0.7522935779816514,0.82,0.784688995215311,100,0.82,0.9593515151515152
plain,0.7821782178217822,0.79,0.7860696517412935,100,0.79,0.9707929292929293
plate,0.797979797979798,0.79,0.7939698492462312,100,0.79,0.9456131313131313
poppy,0.7909090909090909,0.87,0.8285714285714286,100,0.87,0.9727242424242424
porcupine,0.696078431372549,0.71,0.7029702970297029,100,0.71,0.9368878787878788
possum,0.7916666666666666,0.76,0.7755102040816326,100,0.76,0.9264959595959597
rabbit,0.7789473684210526,0.74,0.7589743589743589,100,0.74,0.933789898989899
raccoon,0.8020833333333334,0.77,0.7857142857142857,100,0.77,0.9376989898989899
ray,0.7978723404255319,0.75,0.7731958762886598,100,0.75,0.9302141414141413
road,0.8118811881188119,0.82,0.8159203980099502,100,0.82,0.9737484848484849
rocket,0.7339449541284404,0.8,0.7655502392344498,100,0.8,0.9539141414141413
rose,0.7821782178217822,0.79,0.7860696517412935,100,0.79,0.9660444444444445
sea,0.75,0.81,0.7788461538461539,100,0.81,0.959030303030303
seal,0.7596153846153846,0.79,0.7745098039215687,100,0.79,0.9474787878787879
shark,0.7623762376237624,0.77,0.7661691542288557,100,0.77,0.9330888888888889
shrew,0.77,0.77,0.77,100,0.77,0.9536202020202019
skunk,0.76,0.76,0.76,100,0.76,0.9497818181818181
skyscraper,0.7450980392156863,0.76,0.7524752475247525,100,0.76,0.9512141414141414
snail,0.7878787878787878,0.78,0.7839195979899497,100,0.78,0.936379797979798
snake,0.7604166666666666,0.73,0.7448979591836735,100,0.73,0.9374939393939394
spider,0.8023255813953488,0.69,0.7419354838709677,100,0.69,0.906069696969697
squirrel,0.7938144329896907,0.77,0.7817258883248731,100,0.77,0.9316575757575756
streetcar,0.8829787234042553,0.83,0.8556701030927835,100,0.83,0.9596646464646464
sunflower,0.8181818181818182,0.81,0.8140703517587939,100,0.81,0.9594242424242424
sweet_pepper,0.8421052631578947,0.8,0.8205128205128205,100,0.8,0.9551000000000001
table,0.7980769230769231,0.83,0.8137254901960784,100,0.83,0.9662353535353536
tank,0.75,0.84,0.7924528301886793,100,0.84,0.973689898989899
telephone,0.76,0.76,0.76,100,0.76,0.9557080808080808
television,0.7524752475247525,0.76,0.7562189054726368,100,0.76,0.9560767676767676
tiger,0.6836734693877551,0.67,0.6767676767676768,100,0.67,0.9022333333333333
tractor,0.7575757575757576,0.75,0.7537688442211056,100,0.75,0.9490909090909091
train,0.75,0.84,0.7924528301886793,100,0.84,0.9553555555555555
trout,0.7745098039215687,0.79,0.7821782178217822,100,0.79,0.9447171717171717
tulip,0.7722772277227723,0.78,0.7761194029850746,100,0.78,0.9445111111111111
turtle,0.7682926829268293,0.63,0.6923076923076923,100,0.63,0.907529292929293
wardrobe,0.8152173913043478,0.75,0.78125,100,0.75,0.9446434343434343
whale,0.7403846153846154,0.77,0.7549019607843137,100,0.77,0.9326050505050505
willow_tree,0.7142857142857143,0.75,0.7317073170731707,100,0.75,0.9544494949494948
wolf,0.8191489361702128,0.77,0.7938144329896907,100,0.77,0.9319464646464646
woman,0.7441860465116279,0.64,0.6881720430107527,100,0.64,0.9132414141414141
worm,0.6730769230769231,0.7,0.6862745098039216,100,0.7,0.9270424242424242
macro_avg,0.7713580445431361,0.7706000000000001,0.770114136950862,10000,0.7706000000000001,0.944588090909091
weighted_avg,0.7713580445431361,0.7706,0.770114136950862,10000,0.7706000000000001,0.9445880909090909
overall,,,,10000,0.7706,0.944588090909091
